date_time,sensor_letter,source_file,test,cultivar,plot,plot_type,bio_rep,treatment,pulse_num,temperature,rh
2024-07-22T16:29:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.56,65.13
2024-07-22T16:30:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.66,70.39
2024-07-22T16:31:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.84,79.85
2024-07-22T16:32:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.16,86.94
2024-07-22T16:33:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.47,90.18
2024-07-22T16:34:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.7,91.68
2024-07-22T16:35:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.75,91.63
2024-07-22T16:36:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.77,90.29
2024-07-22T16:37:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.74,88.6
2024-07-22T16:38:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.73,86.4
2024-07-22T16:39:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.74,81.19
2024-07-22T16:40:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.64,70.54
2024-07-22T16:41:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.74,73.8
2024-07-22T16:42:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.96,83.1
2024-07-22T16:43:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.12,80.81
2024-07-22T16:44:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.21,69.29
2024-07-22T16:45:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.03,62.96
2024-07-22T16:46:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.75,63.9
2024-07-22T16:47:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.51,68.81
2024-07-22T16:48:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.42,68.92
2024-07-22T16:49:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.5,79.02
2024-07-22T16:50:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.56,70.97
2024-07-22T16:51:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.56,73.73
2024-07-22T16:52:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.59,75.64
2024-07-22T16:53:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.57,82.42
2024-07-22T16:54:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.57,85.51
2024-07-22T16:55:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.59,87.54
2024-07-22T16:56:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.51,84.21
2024-07-22T16:57:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.36,77.32
2024-07-22T16:58:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.5,81.55
2024-07-22T16:59:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.66,78.74
2024-07-22T17:00:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.7,70.89
2024-07-22T17:01:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.78,77.81
2024-07-22T17:02:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.93,84.19
2024-07-22T17:03:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.87,82.14
2024-07-22T17:04:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.66,65.92
2024-07-22T17:05:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.43,60.66
2024-07-22T17:06:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.19,62
2024-07-22T17:07:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.21,71.22
2024-07-22T17:08:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.43,78.41
2024-07-22T17:09:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.56,81.21
2024-07-22T17:10:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.74,81.61
2024-07-22T17:11:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.94,85.01
2024-07-22T17:12:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.88,73.59
2024-07-22T17:13:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.73,66.21
2024-07-22T17:14:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.65,69.08
2024-07-22T17:15:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.64,73.69
2024-07-22T17:16:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.88,80.67
2024-07-22T17:17:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.1,83.44
2024-07-22T17:18:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.27,81.79
2024-07-22T17:19:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.53,83.11
2024-07-22T17:20:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.56,85.47
2024-07-22T17:21:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.56,83.01
2024-07-22T17:22:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.49,73.64
2024-07-22T17:23:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.35,67.33
2024-07-22T17:24:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.12,57.7
2024-07-22T17:25:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.88,56.54
2024-07-22T17:26:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.74,66.53
2024-07-22T17:27:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.67,73.76
2024-07-22T17:28:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.78,70.89
2024-07-22T17:29:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.66,66.94
2024-07-22T17:30:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.67,62.46
2024-07-22T17:31:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.59,59.78
2024-07-22T17:32:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.7,77.12
2024-07-22T17:33:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.72,80.04
2024-07-22T17:34:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.47,61.21
2024-07-22T17:35:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.11,62.58
2024-07-22T17:36:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.93,69.67
2024-07-22T17:37:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.96,75.58
2024-07-22T17:38:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.16,82.59
2024-07-22T17:39:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.3,82.19
2024-07-22T17:40:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.49,80.35
2024-07-22T17:41:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.77,81.8
2024-07-22T17:42:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.78,73.71
2024-07-22T17:43:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.78,73.59
2024-07-22T17:44:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.68,65.32
2024-07-22T17:45:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.56,65.99
2024-07-22T17:46:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.47,64.91
2024-07-22T17:47:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.51,66.17
2024-07-22T17:48:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.59,73.21
2024-07-22T17:49:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.79,82.87
2024-07-22T17:50:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.96,75.31
2024-07-22T17:51:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.79,58.83
2024-07-22T17:52:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.59,60.53
2024-07-22T17:53:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.44,70.16
2024-07-22T17:54:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.41,74.18
2024-07-22T17:55:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.49,79.52
2024-07-22T17:56:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.7,79.5
2024-07-22T17:57:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.8,81.88
2024-07-22T17:58:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.1,85.85
2024-07-22T17:59:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.09,77.95
2024-07-22T18:00:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.06,73.81
2024-07-22T18:01:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,34.06,73.99
2024-07-22T18:02:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.99,68.45
2024-07-22T18:03:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.79,64.5
2024-07-22T18:04:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.76,68.54
2024-07-22T18:05:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.6,66.6
2024-07-25T15:25:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,23.74,90.1
2024-07-25T15:26:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,24.33,93.77
2024-07-25T15:27:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,25.08,95.37
2024-07-25T15:28:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,25.76,95.4
2024-07-25T15:29:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,26.23,95.77
2024-07-25T15:30:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,27.07,96.47
2024-07-25T15:31:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,27.93,96.77
2024-07-25T15:32:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,28.65,96.95
2024-07-25T15:33:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,29.92,97.38
2024-07-25T15:34:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,31.02,97.38
2024-07-25T15:35:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,31.57,97.18
2024-07-25T15:36:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,32.64,97.49
2024-07-25T15:37:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,32.98,96.68
2024-07-25T15:38:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,31.9,90.28
2024-07-25T15:39:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,31.48,77.94
2024-07-25T15:40:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,31.75,77.15
2024-07-25T15:41:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,32.31,86.38
2024-07-25T15:42:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,33.02,90.77
2024-07-25T15:43:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,33.85,95.03
2024-07-25T15:44:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,34.32,95.64
2024-07-25T15:45:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.03,94.76
2024-07-25T15:46:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35,88.2
2024-07-25T15:47:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.44,92.94
2024-07-25T15:48:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.48,76.63
2024-07-25T15:49:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.36,65.13
2024-07-25T15:50:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.33,67.43
2024-07-25T15:51:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.62,82.32
2024-07-25T15:52:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,35.86,77.82
2024-07-25T15:53:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,36.03,67.02
2024-07-25T15:54:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,36.15,64.58
2024-07-25T15:55:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,36.29,68.1
2024-07-25T15:56:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,36.61,88.67
2024-07-25T15:57:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.2,93.95
2024-07-25T15:58:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.82,95.53
2024-07-25T15:59:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.24,95.55
2024-07-25T16:00:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.07,95.2
2024-07-25T16:01:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.67,94.62
2024-07-25T16:02:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.54,93.03
2024-07-25T16:03:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.45,77.9
2024-07-25T16:04:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.47,81.42
2024-07-25T16:05:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.89,92.45
2024-07-25T16:06:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.06,82.34
2024-07-25T16:07:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.37,87.82
2024-07-25T16:08:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.26,60.43
2024-07-25T16:09:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.02,61.11
2024-07-25T16:10:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.75,61.5
2024-07-25T16:11:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.63,66.54
2024-07-25T16:12:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.84,75.78
2024-07-25T16:13:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.93,74.53
2024-07-25T16:14:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.93,67.81
2024-07-25T16:15:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.02,78.17
2024-07-25T16:16:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.03,84.52
2024-07-25T16:17:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.96,78.04
2024-07-25T16:18:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.73,70.93
2024-07-25T16:19:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.62,78.68
2024-07-25T16:20:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.71,81.93
2024-07-25T16:21:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.76,63.17
2024-07-25T16:22:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.82,72.6
2024-07-25T16:23:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.94,74.81
2024-07-25T16:24:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.08,80.23
2024-07-25T16:25:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.12,83.06
2024-07-25T16:26:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.99,76.35
2024-07-25T16:27:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.88,77.23
2024-07-25T16:28:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.93,81.62
2024-07-25T16:29:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.06,73.05
2024-07-25T16:30:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.07,62.07
2024-07-25T16:31:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.11,60.67
2024-07-25T16:32:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.24,77.11
2024-07-25T16:33:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.39,75.59
2024-07-25T16:34:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.6,84.24
2024-07-25T16:35:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.91,87.04
2024-07-25T16:36:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.06,79.53
2024-07-25T16:37:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.92,60.63
2024-07-25T16:38:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.67,65.13
2024-07-25T16:39:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.78,77.81
2024-07-25T16:40:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.02,83.29
2024-07-25T16:41:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.34,87
2024-07-25T16:42:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.57,85.36
2024-07-25T16:43:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.83,83.46
2024-07-25T16:44:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.83,71.56
2024-07-25T16:45:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.7,70.57
2024-07-25T16:46:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.67,76.28
2024-07-25T16:47:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.51,72.07
2024-07-25T16:48:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.44,62.01
2024-07-25T16:49:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.52,70.03
2024-07-25T16:50:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.69,77.44
2024-07-25T16:51:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.93,84.05
2024-07-25T16:52:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,40,58.85
2024-07-25T16:53:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.84,48.33
2024-07-25T16:54:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.55,65.47
2024-07-25T16:55:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.33,67.86
2024-07-25T16:56:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.3,55.09
2024-07-25T16:57:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.21,46.29
2024-07-25T16:58:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.09,69.25
2024-07-25T16:59:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.13,62.26
2024-07-25T17:00:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.19,73.88
2024-07-25T17:01:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.4,82.39
2024-07-25T17:02:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.5,77.44
2024-07-25T17:03:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.36,68.32
2024-07-25T17:04:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.18,62.3
2024-07-25T17:05:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.08,74.86
2024-07-25T17:06:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,39.03,68.07
2024-07-25T17:07:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.76,52.52
2024-07-25T17:08:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.54,53.98
2024-07-25T17:09:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.38,57.04
2024-07-25T17:10:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.33,59.45
2024-07-25T17:11:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.19,55.6
2024-07-25T17:12:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.26,68.25
2024-07-25T17:13:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.24,57.1
2024-07-25T17:14:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.14,54.42
2024-07-25T17:15:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.93,61.65
2024-07-25T17:16:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.75,73.43
2024-07-25T17:17:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.78,76.1
2024-07-25T17:18:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.92,79.37
2024-07-25T17:19:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.16,85.68
2024-07-25T17:20:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.43,81.7
2024-07-25T17:21:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.6,73.99
2024-07-25T17:22:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.44,56.49
2024-07-25T17:23:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38.21,64.54
2024-07-25T17:24:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,38,57
2024-07-25T17:25:00Z,A,A_20240725,A1,Stevens,OTC 1,OTC,1,A,1,37.7,56.48
2024-07-31T15:15:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,27.85,88.87
2024-07-31T15:16:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,27.91,90.74
2024-07-31T15:17:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,28.15,93.54
2024-07-31T15:18:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,28.55,95.5
2024-07-31T15:19:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,29.42,96.77
2024-07-31T15:20:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,30.63,97.45
2024-07-31T15:21:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,32.11,97.68
2024-07-31T15:22:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,33.73,97.59
2024-07-31T15:23:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,35.44,97.39
2024-07-31T15:24:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,36.96,97.17
2024-07-31T15:25:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,38.29,96.86
2024-07-31T15:26:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,39.45,96.73
2024-07-31T15:27:00Z,A,A_20240731,A2,Stevens,OTC 1,OTC,1,A,2,40.32,96.68
