date,sample_id,exper_type,cultivar,treatment,plot_type,tube_number,concentration_mean,concentration_sd,n_lab_reps
2025-01-09,mqd2,acute,mq,d,otc,48,1277.43,41.40088042542089,3
2025-01-09,mqa1,acute,mq,a,otc,49,2027.41,115.29137175001426,3
2025-01-13,sta3,acute,st,a,otc,50,1879.8799999999999,42.14219263398612,3
2025-01-13,stac2,acute,st,a,control,51,1134.84,42.88071944359136,3
2025-01-13,mqc3,acute,mq,c,control,52,2098,184.7380621312241,3
2025-01-13,mqa3,acute,mq,a,otc,53,1891.0766666666666,63.48152828448084,3
2025-01-13,sta01,acute,st,a0,otc,54,1100.5766666666666,824.5616481703071,3
2025-01-13,mqbc1,acute,mq,b,control,56,1732.3333333333333,51.056652194727036,3
2025-01-13,mqa2,acute,mq,a,otc,57,1614.0266666666666,65.31691690009052,3
2025-01-13,stb1,acute,st,b,otc,58,1274.59,15.793064933698034,3
2025-01-13,mqd1,acute,mq,d,otc,59,1684.8666666666668,100.54736214010455,3
2025-01-13,stlt7,long_term,st,NA,NA,60,1334.4666666666667,106.10991109850823,3
2025-01-13,sta2,acute,st,a,otc,61,1445.1833333333334,140.28046347704066,3
2025-01-13,mqbc3,acute,mq,b,control,62,1603.7533333333333,108.04138204101855,3
2025-01-14,stcd3,acute,st,c,otc,64,1277.5266666666666,40.77861490209455,3
2025-01-14,stcc1,acute,st,c,control,65,1520.62,41.61890435847638,3
2025-01-14,stc3,acute,st,c,control,66,1160.56,46.43434827797193,3
2025-01-14,stbc2,acute,st,b,control,67,1151.1966666666667,27.408568611536964,3
2025-01-14,stc2,acute,st,c,control,68,1277.47,21.853203426500198,3
2025-01-14,mqb2,acute,mq,b,otc,69,1770.3166666666666,40.74326120149602,3
2025-01-14,sta03,acute,st,a0,otc,70,1485.98,20.584564605548543,3
2025-01-14,mqdc1,acute,mq,d,control,71,1555.7766666666666,40.02344354666817,3
2025-01-14,mqdc3,acute,mq,d,control,72,1770.2866666666666,17.078917803342673,3
2025-01-14,mqlt10,long_term,mq,NA,NA,73,1884.0866666666666,56.70221189101296,3
2025-01-14,sta0c3,acute,st,a0,control,74,1549.0766666666666,31.830837773035945,3
2025-01-14,mqc1,acute,mq,c,control,75,1697.6799999999998,37.66511383229843,3
2025-01-16,mqb3,acute,mq,b,otc,76,1432.3333333333333,124.33202497077473,3
2025-01-16,mqac2,acute,mq,a,control,77,2709.02,1689.4843379268125,3
2025-01-16,sta02,acute,st,a0,otc,78,1652.2066666666667,17.79720858262136,3
